year,Month,Season,District,Extent (hectares),Yield (MT),Temperature,Rainfall,Humidity,EVI - I,EVI - II,NDVI - I,NDVI - II,mean clay - 0-5cm,mean pH - 0-5cm,mean Sand
2025,August,Yala,Anuradhapura,2.3,48.5,28.23,1.22,72.88,0.3814,0.3551,0.6116,0.6118,276,58,480
2025,August,Yala,Polannaruwa,0,0,28.46,1.09,72.56,0.4804,0.4325,0.6916,0.6531,297,60,315
2025,August,Yala,Matale,6.3,127.9,25.24,1.96,84.55,0.2712,0.268,0.4899,0.4493,0,0,0
2025,August,Yala,Kurunegala,0,0,25.24,1.96,84.55,0.4109031817,0.3665646726,0.6364949452,0.5561010384,0,0,0
2025,September,Yala,Anuradhapura,337.1,7101.6,28.39,2.19,72.63,0.4195,0.5449,0.5916,0.6369,276,58,480
2025,September,Yala,Polannaruwa,89.1,2035.6,28.81,2.17,71.57,0.3233,0.3381,0.5403,0.5983,297,60,315
2025,September,Yala,Matale,570.9,12540.1,25.64,5.22,83.32,0.2794,0.3207,0.3953,0.5843,0,0,0
2025,September,Yala,Kurunegala,2.2,25.9,25.64,5.22,83.32,0.2829356769,0.407710195,0.453867862,0.7120878694,0,0,0
2025,October,Yala,Anuradhapura,156.9,10698.6,27.15,7.67,81.86,0.4653,0,0.6754,0,276,58,480
2025,October,Yala,Polannaruwa,16.7,2419.5,27.59,8.85,80.97,0.3693,0,0.6648,0,297,60,315
2025,October,Yala,Matale,30,13271.7,25.11,11.54,87.42,0.2698,0,0.4578,0,0,0,0
2025,October,Yala,Kurunegala,5.2,72.2,25.11,11.54,87.42,0.4665879464,0,0.6693670007,0,0,0,0
2024,June,Yala,Anuradhapura,2.7,43.5,28.15,0.82,79.34,0.4258,0.1881,0.6203,0.3292,276,58,480
2024,June,Yala,Polannaruwa,0,0,28.63,1.04,78.88,0.4029,0.5016,0.6256,0.6635,297,60,315
2024,June,Yala,Matale,1,14,26.52,2.03,82.81,0.2145,0.4329,0.4698,0.517,0,0,0
2024,June,Yala,Kurunegala,0,0,26.52,2.03,82.81,0.4927618146,0.4624352348,0.6556127405,0.6295132671,0,0,0
2024,July,Yala,Anuradhapura,1.4,22.8,28.87,0.24,71.94,0.2788,0.3706,0.4068,0.6127,276,58,480
2024,July,Yala,Polannaruwa,0,0,29.3,0.42,70.39,0.4154,0.3679,0.6488,0.6223,297,60,315
2024,July,Yala,Matale,23,621,26.39,1.62,80.47,0.311,0.2712,0.4822,0.4237,0,0,0
2024,July,Yala,Kurunegala,0,0,26.39,1.62,80.47,0.4831610394,0.4575394423,0.6573968788,0.648936172,0,0,0
2024,August,Yala,Anuradhapura,2.9,64.5,28.12,3.82,76.96,0.3001,0.5243,0.5761,0.6461,276,58,480
2024,August,Yala,Polannaruwa,0.4,14,28.64,4.4,75.75,0.3529,0.4037,0.6193,0.4468,297,60,315
2024,August,Yala,Matale,345,12108,26.08,4.52,82.05,0.21,0.2584,0.3916,0.3231,0,0,0
2024,August,Yala,Kurunegala,1.9,43.8,26.08,4.52,82.05,0.5087335264,0.4118423986,0.7066276186,0.5328692137,0,0,0
2024,September,Yala,Anuradhapura,154.4,3298.8,28.89,0.81,73.33,0.2031,0.1553,0.2807,0.1799,276,58,480
2024,September,Yala,Polannaruwa,19.5,425.3,29.15,0.92,73.22,0.327,0.4165,0.4862,0.5247,297,60,315
2024,September,Yala,Matale,41,1024,26.62,1.48,80.41,0.1949,0.2024,0.4173,0.3437,0,0,0
2024,September,Yala,Kurunegala,3.2,100.2,26.62,1.48,80.41,0.4621858749,0.4293791659,0.6975074406,0.5967183108,0,0,0
2024,October,Yala,Anuradhapura,92.3,2109.8,27.12,6.17,83.23,0.2732,0.4491,0.4639,0.6426,276,58,480
2024,October,Yala,Polannaruwa,36,769.2,27.72,6.41,81.9,0.3693,0.3965,0.6077,0.6417,297,60,315
2024,October,Yala,Matale,0,0,25.89,4,83.48,0.3718,0.2564,0.592,0.5137,0,0,0
2024,October,Yala,Kurunegala,2.3,82.2,25.89,4,83.48,0.4113920329,0.4570264907,0.6051168543,0.7327445415,0,0,0
2023,August,Yala,Polannaruwa,4.2,64.9,30.34,0.8,64.26,0.4228,0.3362,0.617,0.5934,297,60,315
2023,September,Yala,Anuradhapura,114.5,2251.6,28.28,2.42,72.9,0.3138,0.2647,0.6526,0.5775,276,58,480
2023,September,Yala,Polannaruwa,62.7,1104.7,28.69,4.1,73.19,0.3468,0.3363,0.5513,0.5014,297,60,315
2023,September,Yala,Matale,87.8,1906.7,25.89,7.28,81.56,0.2327,0.3954,0.3678,0.5774,0,0,0
2023,September,Yala,Kurunegala,2.4,28.4,25.89,7.28,81.56,0.4233380091,0.4800369322,0.6401415514,0.6666036498,0,0,0
2023,October,Yala,Anuradhapura,19.4,349.8,26.92,10.54,82.95,0.4741,0,0.6725,0,276,58,480
2023,October,Yala,Polannaruwa,47.2,893,27.27,17.19,82.83,0.421,0,0.6047,0,297,60,315
2023,October,Yala,Matale,15.8,321,25.1,13.56,87.82,0.3808,0,0.6287,0,0,0,0
2023,October,Yala,Kurunegala,1.1,21.7,25.1,13.56,87.82,0.5455532506,0,0.7614534961,0,0,0,0
2022,August,Yala,Anuradhapura,10.4,63.22,27.29,2.82,77.72,0.4203,0.3299,0.6239,0.5539,276,58,480
2022,August,Yala,Matale,15.9,35,24.94,6.12,85.12,0.3194,0.1886,0.5548,0.2329,0,0,0
2022,September,Yala,Anuradhapura,307,4094.67,27.47,1.56,76.14,0.4495,0.2559,0.6,0.4404,276,58,480
2022,September,Yala,Polannaruwa,180.2,2382.8,27.78,2,76.67,0.3419,0.3977,0.5348,0.5711,297,60,315
2022,September,Yala,Matale,1162.6,4360.5,25.13,2.67,84.18,0.3345,0.2763,0.4767,0.3765,0,0,0
2022,September,Yala,Kurunegala,4.8,39.4,25.13,2.67,84.18,0.4943710405,0.3395108593,0.6790669495,0.4547286233,0,0,0
2022,October,Yala,Anuradhapura,242.5,2946.96,26.62,7.15,80.89,0.4539,0,0.6803,0,276,58,480
2022,October,Yala,Polannaruwa,48.1,622.1,27.13,11.86,80.15,0.3512,0,0.5053,0,297,60,315
2022,October,Yala,Matale,196.2,599.2,24.81,7.6,85.35,0.218,0,0.5071,0,0,0,0
2022,October,Yala,Kurunegala,0.2,1.5,24.81,7.6,85.35,0.4539335174,0,0.759751494,0,0,0,0
2022,November,Yala,Anuradhapura,1.8,29.88,25,7.64,87.55,0.3307,0.3517,0.4731,0.6652,276,58,480
2021,August,Yala,Anuradhapura,7.8,856.4,27.8,1.33,74.94,0.3593,0.4349,0.5534,0.6243,276,58,480
2021,August,Yala,Kurunegala,2.9,1,24.94,3.41,86.49,0.4171859971,0.3961425992,0.5968792432,0.5820593893,0,0,0
2021,September,Yala,Anuradhapura,869.7,17889.4,27.78,3.78,77.17,0.3633,0.4131,0.6595,0.7151,276,58,480
2021,September,Yala,Polannaruwa,125.8,2091.5,28.27,3.15,76.02,0.4276,0.4305,0.4969,0.5814,297,60,315
2021,September,Yala,Matale,1581.8,35054.9,25.43,4.34,85.62,0.5065,0.2585,0.6203,0.3526,0,0,0
2021,September,Yala,Kurunegala,23.6,430.4,25.43,4.34,85.62,0.4621542476,0.4118554315,0.60182033,0.6168956485,0,0,0
2021,October,Yala,Anuradhapura,313.4,5911.7,26.44,10.6,85.65,0.5952,0,0.6159,0,276,58,480
2021,October,Yala,Polannaruwa,134.9,2141.5,27.21,13.64,82.42,0.364,0,0.5319,0,297,60,315
2021,October,Yala,Matale,183.3,4040.8,25.01,10.58,87.43,0.2009,0,0.3557,0,0,0,0
2021,October,Yala,Kurunegala,2.9,79.6,25.01,10.58,87.43,0.4371369885,0,0.6337757984,0,0,0,0
2021,November,Yala,Anuradhapura,2.4,89.4,25.32,17.29,91.75,0.3509,0.3878,0.6068,0.6881,276,58,480
2020,August,Yala,Anuradhapura,187,508,28.2,0.78,73.37,0.3607,0.3387,0.6462,0.5684,276,58,480
2020,August,Yala,Polannaruwa,16,213,28.74,0.79,71.86,0.386,0.4526,0.5171,0.6048,297,60,315
2020,August,Yala,Matale,318,"3,091",25.66,2.71,82.44,0.206,0.2352,0.4167,0.3671,0,0,0
2020,August,Yala,Kurunegala,7,108,25.66,2.71,82.44,0.484800739,0.381912262,0.6659124136,0.5627427813,0,0,0
2020,September,Yala,Anuradhapura,774,10271,26.84,5.78,80.78,0.5085,0.4429,0.6323,0.5959,276,58,480
2020,September,Yala,Polannaruwa,183,2837,27.79,3.77,75.92,0.3259,0.4283,0.4553,0.5855,297,60,315
2020,September,Yala,Matale,895,"11,462",25.09,5.43,84.37,0.2337,0.293,0.3357,0.4609,0,0,0
2020,September,Yala,Kurunegala,51,869,25.09,5.43,84.37,0.3963517099,0.4775271199,0.541999693,0.6787621999,0,0,0
2020,October,Yala,Anuradhapura,23,230,27.56,1.94,76.67,0.3811,0.4487,0.6218,0.6102,276,58,480
2020,October,Yala,Polannaruwa,6,109,28.45,1.26,72.97,0.3531,0.6102,0.526,0.5487,297,60,315
2020,October,Yala,Matale,38,663,25.64,2.26,81.91,0.2393,0.3689,0.4489,0.5739,0,0,0
2020,October,Yala,Kurunegala,1,4,25.64,2.26,81.91,0.4699152173,0.485620728,0.6787295376,0.7227816808,0,0,0
2020,November,Yala,Anuradhapura,1,15,26.11,10.93,87.38,0.4727,0,0.6505,0,276,58,480
2019,August,Yala,Anuradhapura,77.86,2486,28.03,3,72.76,0.3955,0.3566,0.5318,0.5043,276,58,480
2019,August,Yala,Polannaruwa,28.35,222,28.69,2.34,70.01,0.3431,0.2983,0.6451,0.4351,297,60,315
2019,August,Yala,Matale,110.83,3817,25.89,4.07,78.67,0.2695,0.2941,0.3553,0.3096,0,0,0
2019,September,Yala,Anuradhapura,258.57,4807,27.5,4.42,77.31,0.3073,0.4568,0.4141,0.6428,276,58,480
2019,September,Yala,Polannaruwa,30.19,333,28.22,4.2,74.36,0.376,0.3198,0.4412,0.4904,297,60,315
2019,September,Yala,Matale,361.02,5206,25.59,6.33,81.83,0.2494,0.4012,0.432,0.5627,0,0,0
2019,September,Yala,Kurunegala,3.13,87,25.59,6.33,81.83,0.4448614626,0.5230294278,0.6217754958,0.7273448491,0,0,0
2019,October,Yala,Anuradhapura,10.8,252,26.08,13.06,86.56,0.1537,0,0.4681,0,276,58,480
2019,October,Yala,Polannaruwa,2.85,240,26.68,12.72,84.37,0.2958,0,0.5142,0,297,60,315
2019,October,Yala,Kurunegala,1,2,24.74,13.1,88.14,0.3846811687,0,0.6028849845,0,0,0,0
2019,November,Yala,Polannaruwa,1.43,274,26.78,11.57,84.61,0.3691,0.2958,0.6091,0.5081,297,60,315